sa4_name,name,x,y
Parramatta,CARLINGFORD COURT,151.05229048007863,-33.77624547568138
Parramatta,ECCLES PARK,151.05374285916199,-33.81053427601384
Parramatta,MARRI BADOO RESERVE,151.04403105943769,-33.8018011276706
Parramatta,ACACIA PARK,151.0492296126818,-33.793922838856815
Parramatta,HOMELANDS RESERVE,151.0429554535474,-33.78874107543903
Parramatta,FAITH BAPTIST CHURCH,151.05252847344178,-33.787951528360765
Parramatta,GALARINGI,151.05333801002303,-33.78314333910265
Parramatta,,151.05629536185472,-33.77606065697524
Parramatta,AUBURN RAILWAY STATION,151.03284022132723,-33.84930218883234
Parramatta,,151.04286359092814,-33.775075434587635
Parramatta,DUNROSSIL PARK,151.05726665357759,-33.76987975084538
Parramatta,,151.05114607491575,-33.76996455904788
Parramatta,ROSELEA PARK,151.0484842751007,-33.76423973110712
Parramatta,ST GERARD MAJELLA CEMETERY,151.04051554838736,-33.76851155152108
Parramatta,RAINBOW FARM RESERVE,151.0450452717665,-33.761114591935986
Parramatta,PINE TREE PARK,151.0448049652415,-33.76494248885521
Parramatta,,151.0463396434796,-33.771544200088194
Parramatta,,151.05242341546932,-33.75973974174495
Parramatta,PENNANT HILLS GOLF COURSE,151.05266447478255,-33.75541933610124
Parramatta,FEARNLEY PARK,151.05571850240685,-33.74997358430142
Parramatta,,151.0603063126489,-33.757705214086656
Parramatta,,151.08441846750034,-33.790591904198365
Parramatta,EASTWOOD POLICE STATION,151.08368300060758,-33.79025700130767
Parramatta,,151.0766682739462,-33.769522670577345
Parramatta,,151.01522460266042,-33.77178349369823
Parramatta,RAY PARK,151.06262337588873,-33.765389585145726
Parramatta,CONCORD WEST POST OFFICE,151.08691957937233,-33.84820675484555
Parramatta,STRATHFIELD PLAZA,151.0931695441812,-33.87303483640501
Parramatta,CARLINGFORD NORTH POST OFFICE,151.05859533105303,-33.76491413615764
Parramatta,ST ANNE'S ANGLICAN CHURCH,151.08766740888004,-33.87087103925732
Parramatta,SYDNEY KOREAN UNITING CHURCH,151.0877032372868,-33.87231670514729
