sa4_name,name,x,y
Ryde,CARLINGFORD COURT,151.05229048007863,-33.77624547568138
Ryde,ECCLES PARK,151.05374285916199,-33.81053427601384
Ryde,LANE COVE BUSHLAND PARK,151.17926511856533,-33.823130729354865
Ryde,LANE COVE COUNTRY CLUB,151.17395727718204,-33.819529692502236
Ryde,LANE COVE MUNICIPAL COUNCIL,151.17112016035958,-33.81280528295465
Ryde,FAITH BAPTIST CHURCH,151.05252847344178,-33.787951528360765
Ryde,GALARINGI,151.05333801002303,-33.78314333910265
Ryde,,151.05629536185472,-33.77606065697524
Ryde,DUNROSSIL PARK,151.05726665357759,-33.76987975084538
Ryde,,151.05114607491575,-33.76996455904788
Ryde,,151.05242341546932,-33.75973974174495
Ryde,PENNANT HILLS GOLF COURSE,151.05266447478255,-33.75541933610124
Ryde,FEARNLEY PARK,151.05571850240685,-33.74997358430142
Ryde,,151.0603063126489,-33.757705214086656
Ryde,LEISURE LEA GARDENS,151.10263698597853,-33.77290589183996
Ryde,TRAFALGAR RESERVE,151.1069888366432,-33.76874368247861
Ryde,,151.08441846750034,-33.790591904198365
Ryde,EASTWOOD POLICE STATION,151.08368300060758,-33.79025700130767
Ryde,HENRI DUNANT RESERVE,151.11140133796263,-33.800474790385934
Ryde,,151.0766682739462,-33.769522670577345
Ryde,,151.10315349031748,-33.78144046948025
Ryde,KATHLEEN RESERVE,151.12375119233408,-33.79356464717826
Ryde,ST PHILIPS PRESBYTERIAN CHURCH,151.1060153485395,-33.82396811737243
Ryde,LOOKING GLASS BAY PARK,151.12667506305684,-33.837654734104085
Ryde,BANJO PATERSON PARK,151.12723345583743,-33.83943439813399
Ryde,KELLYS BUSH RESERVE,151.1668935896427,-33.84238279425823
Ryde,,151.17888630978985,-33.80567464255529
Ryde,WALLACE PARK RESERVE,151.17519043409845,-33.80261059329322
Ryde,RAY PARK,151.06262337588873,-33.765389585145726
Ryde,CONCORD WEST POST OFFICE,151.08691957937233,-33.84820675484555
Ryde,CARLINGFORD NORTH POST OFFICE,151.05859533105303,-33.76491413615764
